,word,x,y
203,달래,19.76493,-1.5748026
204,땅콩버터,20.431019,-2.4389024
205,대하,10.0823345,0.207271
206,다진홍고추,18.111465,-2.1835911
207,치즈,15.705122,-0.7256456
208,바게트,14.057365,-0.39764243
209,라이스페이퍼,15.213251,0.44316489
210,칼국수,16.55133,-1.1938128
211,두반장,19.930483,-1.1003097
212,우스터소스,19.908173,-2.1844215
213,핫소스,21.09938,-1.1760929
214,북어,15.264804,-0.6868539
215,슬라이스치즈,7.4906273,0.9308641
216,포도씨유,19.376175,-2.029583
217,양념장,18.550163,-2.3167593
218,트레비스,12.790322,-0.23686694
219,오레가노,21.136684,-2.5188136
220,열무,21.411896,-2.6904542
221,날콩가루,21.874762,-2.1979783
222,잔멸치,17.197054,-0.54780245
223,갈치,14.094208,-2.200755
224,매실액,15.973539,-1.3035855
225,냉면,19.432915,-1.2820286
226,통마늘,17.10811,-2.3244185
227,레드와인,21.152815,-1.7326826
228,해파리,16.383602,-2.2617638
229,깨,8.706556,-0.78312707
230,우거지,20.260384,-3.1517863
231,양,19.95713,-2.325232
232,쌈장,21.56104,-2.5001366
233,돼지갈비,15.184004,-1.3596334
234,라면,17.709282,-1.4339937
235,수삼,20.633123,-1.4849234
236,식빵,16.523785,-1.2669797
237,쭈꾸미,15.258528,-0.63044006
238,훈제연어,19.163807,-2.0210805
239,미더덕,15.750724,-0.1848921
240,어린잎채소,9.642125,-0.44070426
