,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
21156,파마산치즈,후춧가루,5,2109,2,1.821592908019006
21723,콩,후춧가루,5,2109,2,1.821592908019006
20030,칼국수,후춧가루,5,2109,2,1.821592908019006
27857,호두,후춧가루,5,2109,2,1.821592908019006
9531,팽이버섯,홍고추,48,1096,10,1.8238144349501297
10462,어묵,오이,12,436,1,1.8293039272349012
31401,매실액,오이,12,436,1,1.8293039272349012
21904,가쓰오브시국물,팽이버섯,16,327,1,1.8293039272349012
22750,동태살,오징어,17,307,1,1.8317917287285226
30051,발효초,식초,10,520,1,1.8354389158024171
21345,다시마국물,대파,12,431,1,1.8408380804801876
30093,구운김,대파,12,431,1,1.8408380804801876
12877,호박,후춧가루,17,2109,7,1.8505804448922585
11027,다진풋고추,진간장,16,320,1,1.8509431023383824
25425,고춧기름,청주,11,465,1,1.851920141986209
30963,다시마 우린 물,청주,11,465,1,1.851920141986209
27301,쪽파,홍고추,14,1096,3,1.851985311916826
14596,팽이버섯,호박,48,211,2,1.8619408565479236
16828,고들빼기,다진마늘,10,505,1,1.8647092981025302
3544,동태,청고추,7,717,1,1.8708668307170022
27280,쪽파,청고추,14,717,2,1.8708668307170022
15897,사이다,청고추,7,717,1,1.8708668307170022
6390,마늘종,식용유,8,627,1,1.8714647380591791
20343,껍질콩,식용유,8,627,1,1.8714647380591791
30678,닭 육수,당근,18,278,1,1.873859948785134
19156,떡,설탕,4,1247,1,1.8770625135720087
10381,삶은팥,설탕,4,1247,1,1.8770625135720087
16979,두릅,설탕,4,1247,1,1.8770625135720087
22266,메밀국수,설탕,4,1247,1,1.8770625135720087
31830,라임,설탕,4,1247,1,1.8770625135720087
18047,다진대파,설탕,4,1247,1,1.8770625135720087
30255,샐러드채소,설탕,4,1247,1,1.8770625135720087
28381,팽이버섯,홍피망,48,103,1,1.8859228212344092
6392,마늘종,쇠고기,8,615,1,1.890789010885582
6668,고추냉이,오징어,16,307,1,1.8924163505449574
9842,피망,후추,23,212,1,1.8997723297707736
3506,동태,물,7,695,1,1.9020308257518304
30316,메기,물,7,695,1,1.9020308257518304
6079,냉이,물,7,695,1,1.9020308257518304
27598,피망,호박,23,211,1,1.9045004709667197
10682,정종,홍고추,22,1096,5,1.9108258119397594
13184,사골,진간장,15,320,1,1.9154816234759535
983,표고버섯,후춧가루,59,2109,26,1.9184427340089238
25405,고춧기름,대파,11,431,1,1.9278494574698175
7772,잣가루,참기름,5,1888,2,1.9322887417923347
23811,잔새우,참기름,5,1888,2,1.9322887417923347
16826,고들빼기,실파,10,465,1,1.9472303217905338
29038,꽃빵,청주,10,465,1,1.9472303217905338
11239,쑥,표고버섯,7,664,1,1.9476605218401886
28942,불린쌀,표고버섯,7,664,1,1.9476605218401886
28199,우엉,표고버섯,7,664,1,1.9476605218401886
30966,다시마 우린 물,다진파,11,419,1,1.9560866276514275
1427,소스,양파,8,1144,2,1.963272287312302
22144,쇠고기스톡,양파,4,1144,1,1.963272287312302
18557,순대,양파,4,1144,1,1.963272287312302
13242,사우어크라우트,양파,4,1144,1,1.963272287312302
32230,당근잎,양파,4,1144,1,1.963272287312302
6495,청피망,표고버섯,27,664,4,1.9840281660110635
13863,광어,생강,12,369,1,1.9961495265434084
31219,감동젓,무,14,316,1,1.997053277169765
30158,김칫국물,마늘,13,339,1,2.0009033555299487
30356,메기,식용유,7,627,1,2.004996130683702
11857,말린 표고버섯,식용유,7,627,1,2.004996130683702
23934,조기,홍고추,4,1096,1,2.006135991744084
11123,치커리,홍고추,8,1096,2,2.006135991744084
8664,프랑크소시지,홍고추,4,1096,1,2.006135991744084
13408,오곡곡물,홍고추,4,1096,1,2.006135991744084
30437,잉어,홍고추,4,1096,1,2.006135991744084
25561,생대구,홍고추,4,1096,1,2.006135991744084
27208,조청,홍고추,4,1096,1,2.006135991744084
19496,청국장,홍고추,4,1096,1,2.006135991744084
29046,포도씨유,홍고추,4,1096,1,2.006135991744084
562,양념장,홍고추,8,1096,2,2.006135991744084
30039,발효초,오이,10,436,1,2.0116254840288557
8309,수삼,오이,10,436,1,2.0116254840288557
32554,다짐육,대파,10,431,1,2.0231596372741425
16520,땅콩가루,쇠고기,7,615,1,2.024320403510105
25776,생밤,청고추,6,717,1,2.0250175105442603
6301,마른오징어,청고추,6,717,1,2.0250175105442603
17239,신김치,청고추,12,717,2,2.0250175105442603
31794,둥근호박,청고추,6,717,1,2.0250175105442603
4864,우거지,청고추,6,717,1,2.0250175105442603
5428,쇠고기육수,청고추,6,717,1,2.0250175105442603
7481,술,팽이버섯,13,327,1,2.0369432920131456
14586,생태,팽이버섯,13,327,1,2.0369432920131456
9014,홍고추,후추,40,212,2,2.039534272145932
20018,청장,후춧가루,2,2109,1,2.044736459333216
7851,햄,후춧가루,10,2109,5,2.044736459333216
26318,취나물,후춧가루,2,2109,1,2.044736459333216
2985,통마늘,후춧가루,2,2109,1,2.044736459333216
3724,통북어,후춧가루,2,2109,1,2.044736459333216
27659,저민마늘,후춧가루,2,2109,1,2.044736459333216
3739,유부,후춧가루,6,2109,3,2.044736459333216
21734,팥,후춧가루,2,2109,1,2.044736459333216
22975,돈까스소스,밀가루,16,263,1,2.04711006595439
31150,다진생각,실파,9,465,1,2.05259083744836
27809,녹차국수,물,6,695,1,2.056181505579089
10574,곶감,물,6,695,1,2.056181505579089
6298,마른오징어,물,6,695,1,2.056181505579089
1492,가리비,당근,15,278,1,2.056181505579089
31950,백오이,식초,8,520,1,2.0585824671166266
21864,냉동만두,식초,8,520,1,2.0585824671166266
21661,박고지,식초,8,520,1,2.0585824671166266
22262,조미술,진간장,13,320,1,2.0585824671166266
236,표고버섯,호박,59,211,3,2.0610695316582595
6350,술,식용유,13,627,2,2.0791041028374235
10413,고구마줄기,다진마늘,8,505,1,2.0878528494167403
20322,껍질콩,다진마늘,8,505,1,2.0878528494167403
21061,오레가노,오징어,13,307,1,2.100055715323202
887,파,표고버섯,12,664,2,2.101811201667447
5046,어묵,표고버섯,12,664,2,2.101811201667447
1121,콩나물,홍고추,36,1096,10,2.1114965074019105
15498,참치,청고추,11,717,2,2.1120288875338904
763,찹쌀가루,청고추,11,717,2,2.1120288875338904
28123,고기산적,오이,9,436,1,2.116985999686682
25107,깨소스,팽이버섯,12,327,1,2.116985999686682
32460,어린잎채소,오이,9,436,1,2.116985999686682
1520,가재새우,당근,14,278,1,2.12517437706604
4345,배주머니,소금,2,1942,1,2.1272319909607202
19916,닭봉,대파,9,431,1,2.1285201529319684
31275,국물용 다시마,대파,9,431,1,2.1285201529319684
22278,와사비,진간장,12,320,1,2.1386251747901635
15830,바게트,피망,14,274,1,2.139667384368607
20177,찹쌀,호박,18,211,1,2.1496229289997046
29954,쫄면,참기름,2,1888,1,2.1554322931065446
29768,어장,참기름,2,1888,1,2.1554322931065446
20817,조림간장,참기름,2,1888,1,2.1554322931065446
20141,새우젓국,식용유,6,627,1,2.15914681051096
12052,새우살,식용유,6,627,1,2.15914681051096
6250,더덕,설탕,3,1247,1,2.1647445860237897
15100,비엔나소시지,설탕,3,1247,1,2.1647445860237897
28230,멥쌀가루,설탕,3,1247,1,2.1647445860237897
25395,고춧기름,마늘,11,339,1,2.167957440193115
397,우유,통후추,33,113,1,2.167957440193115
25115,맛조개,청주,8,465,1,2.1703738731047437
20662,닭살,실파,8,465,1,2.1703738731047437
16202,겨자가루,청주,8,465,1,2.1703738731047437
16637,랩,실파,8,465,1,2.1703738731047437
7911,파슬리,후춧가루,7,2109,4,2.1782678519577385
22379,맛살조개,생강,10,369,1,2.178471083337363
20466,기름,쇠고기,6,615,1,2.178471083337363
780,열무,홍고추,10,1096,3,2.188457548538039
7479,술,육수,13,281,1,2.188548793576653
16528,땅콩가루,식초,7,520,1,2.1921138597411494
6676,문어,식초,7,520,1,2.1921138597411494
15912,사이다,식초,7,520,1,2.1921138597411494
20780,들깻잎,식초,7,520,1,2.1921138597411494
31964,삶은계란,식초,7,520,1,2.1921138597411494
11844,말린 표고버섯,식초,7,520,1,2.1921138597411494
32047,부침유,식초,7,520,1,2.1921138597411494
30762,다진 마늘,당근,13,278,1,2.1992823492197617
14481,무즙,팽이버섯,11,327,1,2.2039973766763117
24740,참치,팽이버섯,11,327,1,2.2039973766763117
29446,파프리카,팽이버섯,11,327,1,2.2039973766763117
4613,싸리버섯,청고추,5,717,1,2.207339067338215
27257,얼갈이배추,청고추,5,717,1,2.207339067338215
27422,순창콩된장,청고추,5,717,1,2.207339067338215
11108,청경채,청고추,5,717,1,2.207339067338215
17618,조미술,피망,13,274,1,2.213775356522329
30478,우유,후추,33,212,2,2.231906164793388
16664,랩,오이,8,436,1,2.234769035343066
21652,박고지,오이,8,436,1,2.234769035343066
28142,소스,오이,8,436,1,2.234769035343066
8412,딸기,오이,8,436,1,2.234769035343066
21849,냉동만두,오이,8,436,1,2.234769035343066
22970,돈까스소스,밥,16,217,1,2.239366744591695
13086,우유,청피망,33,105,1,2.241384908747932
1731,피망,후춧가루,23,2109,14,2.2414467535792704
16790,당근즙,대파,8,431,1,2.246303188588352
16757,시금치즙,양파,3,1144,1,2.250954359764083
15114,비엔나소시지,양파,3,1144,1,2.250954359764083
3501,순두부,양파,3,1144,1,2.250954359764083
27558,붉은갓,양파,3,1144,1,2.250954359764083
32225,당근채,양파,3,1144,1,2.250954359764083
20120,청피망,파,27,127,1,2.2518288679090155
10427,고구마줄기,다진파,8,419,1,2.274540358769962
1415,검은껍질홍합,당근,12,278,1,2.2793250568932986
25103,깨소스,당근,12,278,1,2.2793250568932986
19931,닭봉,생강,9,369,1,2.283831598995189
27542,고운소금,생강,9,369,1,2.283831598995189
25449,튀김가루,표고버섯,5,664,1,2.2841327584614017
23665,칼국수,표고버섯,5,664,1,2.2841327584614017
18125,채썬쇠고기,표고버섯,5,664,1,2.2841327584614017
27440,순창콩된장,표고버섯,5,664,1,2.2841327584614017
31237,감동젓,미나리,14,235,1,2.293209976612518
6987,통깨,홍고추,15,1096,5,2.2938180641958654
4872,우거지,홍고추,6,1096,2,2.2938180641958654
28924,불린쌀,실파,7,465,1,2.303905265729266
16620,맛소금,실파,7,465,1,2.303905265729266
32251,통깨,후추,15,212,1,2.3272163445977134
8504,홀토마토,후춧가루,3,2109,2,2.332418531784997
22979,돈까스소스,토마토케첩,16,196,1,2.3411494389016374
12053,생선살,식용유,5,627,1,2.341468367304915
6288,꽈리고추,식용유,5,627,1,2.341468367304915
11279,명란젓,식용유,5,627,1,2.341468367304915
20451,기름,식초,6,520,1,2.346264539568408
623,쇠고기육수,식초,6,520,1,2.346264539568408
29941,새싹채소,식초,6,520,1,2.346264539568408
28468,비트,식초,6,520,1,2.346264539568408
7369,도토리묵,식초,6,520,1,2.346264539568408
31799,둥근호박,식초,6,520,1,2.346264539568408
229,호박,홍고추,17,1096,6,2.3509764780358138
27379,근대,쇠고기,5,615,1,2.3607926401313177
16623,맛소금,오이,7,436,1,2.368300427967588
16501,땅콩가루,오이,7,436,1,2.368300427967588
15890,사이다,오이,7,436,1,2.368300427967588
11829,말린 표고버섯,오이,7,436,1,2.368300427967588
27568,고운소금,마늘,9,339,1,2.3686281356552663
1094,북어,실파,13,465,2,2.378013237882988
6085,냉이,대파,7,431,1,2.379834581212875
27584,파프리카,피망,11,274,1,2.380829441185495
32078,매실액,콩나물,12,250,1,2.385485252721689
13109,토마토케첩,홍피망,29,103,1,2.389828002155826
20436,대구,팽이버섯,9,327,1,2.404668072138463
162,통후추,홍고추,8,1096,3,2.411601099852249
32113,매실액,통깨,12,243,1,2.4138847272433868
8930,아귀,진간장,9,320,1,2.4263072472419442
27204,조청,청고추,4,717,1,2.430482618652425
23910,조기,청고추,4,717,1,2.430482618652425
27967,전어,청고추,4,717,1,2.430482618652425
13405,오곡곡물,청고추,4,717,1,2.430482618652425
25552,생대구,청고추,4,717,1,2.430482618652425
31155,다진생각,무,9,316,1,2.4388860294488044
31290,국물용 다시마,무,9,316,1,2.4388860294488044
27549,고운소금,무,9,316,1,2.4388860294488044
9294,포도씨유,후춧가루,4,2109,3,2.4502015674413804
17982,핫소스,후춧가루,4,2109,3,2.4502015674413804
25763,생밤,실파,6,465,1,2.4580559455565245
5394,쇠고기육수,실파,6,465,1,2.4580559455565245
16608,매실장아찌,실파,6,465,1,2.4580559455565245
3738,유부,청주,6,465,1,2.4580559455565245
18029,다진대파,물,4,695,1,2.461646613687253
8951,찹쌀가루,콩나물,11,250,1,2.4724966297113187
18004,옥수수통조림,피망,10,274,1,2.47613962098982
28458,돼지등갈비,마늘,8,339,1,2.4864111713116497
25175,와사비소스,표고버섯,4,664,1,2.5072763097756114
2179,초고추장,표고버섯,4,664,1,2.5072763097756114
19502,청국장,표고버섯,4,664,1,2.5072763097756114
2161,양념간장,표고버섯,4,664,1,2.5072763097756114
32575,다짐육,밀가루,10,263,1,2.5171136952001256
25120,맛조개,팽이버섯,8,327,1,2.5224511077948466
31432,붉은 파프리카,오이,6,436,1,2.5224511077948466
7356,도토리묵,오이,6,436,1,2.5224511077948466
602,쇠고기육수,오이,6,436,1,2.5224511077948466
29939,새싹채소,오이,6,436,1,2.5224511077948466
27814,녹차국수,오이,6,436,1,2.5224511077948466
25770,생밤,오이,6,436,1,2.5224511077948466
16611,매실장아찌,오이,6,436,1,2.5224511077948466
28464,비트,오이,6,436,1,2.5224511077948466
29900,시판용장국,식초,5,520,1,2.5285860963623623
30343,메기,생강,7,369,1,2.5351460272760953
16805,당근즙,진간장,8,320,1,2.5440902828983276
1119,홍고추,후춧가루,40,2109,33,2.545511747245705
31679,와사비,후추,12,212,1,2.550359895911923
32515,전분,후추,12,212,1,2.550359895911923
17279,파,호박,12,211,1,2.555088037107869
32522,전분,호박,12,211,1,2.555088037107869
16013,옥수수,육수,9,281,1,2.5562735737019704
16196,겨자가루,무,8,316,1,2.5566690651051878
27371,근대,다진마늘,5,505,1,2.5578564786624756
31508,고구마잎,다진마늘,5,505,1,2.5578564786624756
7451,마른새우,식용유,4,627,1,2.5646119186191245
18555,순대,식용유,4,627,1,2.5646119186191245
28128,고기산적,당근,9,278,1,2.5670071293450794
30653,토마토,파프리카,25,100,1,2.567806809515644
16835,고들빼기,깨소금,10,246,1,2.5839361914455274
22083,미원,오징어,8,307,1,2.585563531104903
30669,로즈마리,올리브유,16,153,1,2.588826176739719
30101,구운김,두부,12,200,1,2.6086288040358987
765,열무,청고추,10,717,3,2.6128041754463793
23035,바나나,밥,11,217,1,2.6140601940331054
6095,냉이,마늘,7,339,1,2.619942563936172
31283,국물용 다시마,밀가루,9,263,1,2.622474210857952
9016,찹쌀가루,후추,11,212,1,2.637371272901553
30914,다시마 우린 물,후추,11,212,1,2.637371272901553
6283,꽈리고추,청주,5,465,1,2.640377502350479
28275,가다랑이포,실파,5,465,1,2.640377502350479
13612,조갯살,호박,11,211,1,2.642099414097499
27591,파프리카,호박,11,211,1,2.642099414097499
27563,삭힌고추,양파,2,1144,1,2.6564194678722473
28159,시금치나물,양파,2,1144,1,2.6564194678722473
31407,액젓,양파,2,1144,1,2.6564194678722473
21489,양겨자,양파,2,1144,1,2.6564194678722473
13611,호박,홍합,17,133,1,2.668290348093966
22101,미원,육수,8,281,1,2.674056609358354
20967,우스터소스,육수,8,281,1,2.674056609358354
22707,산초가루,진간장,7,320,1,2.6776216755228504
10579,곶감,생강,6,369,1,2.689296707103354
31424,붉은 파프리카,생강,6,369,1,2.689296707103354
3553,동태,무,7,316,1,2.6902004577297105
22149,토마토페이스트,피망,8,274,1,2.6992831723040296
7370,청포묵,홍고추,2,1096,1,2.6992831723040296
3719,통북어,홍고추,2,1096,1,2.6992831723040296
27593,찬밥,피망,8,274,1,2.6992831723040296
11626,통생강,홍고추,2,1096,1,2.6992831723040296
11060,케일,홍고추,2,1096,1,2.6992831723040296
24369,해파리,홍고추,2,1096,1,2.6992831723040296
28131,도라지나물,오이,5,436,1,2.704772664588801
26063,쌈다시마,오이,5,436,1,2.704772664588801
30471,송어,오이,5,436,1,2.704772664588801
27891,닭발,오이,5,436,1,2.704772664588801
27876,서리태콩,오이,5,436,1,2.704772664588801
31399,돛나물,오이,5,436,1,2.704772664588801
23992,참치,토마토케첩,11,196,1,2.715842888343048
23100,바나나,토마토케첩,11,196,1,2.715842888343048
27366,근대,대파,5,431,1,2.7163068178340875
2003,잔멸치,청고추,3,717,1,2.7181646911042057
27963,전어젓갈,청고추,3,717,1,2.7181646911042057
6666,문어,오징어,7,307,1,2.7190949237294255
30550,사라다나,올리브유,14,153,1,2.7223575693642417
32535,다짐육,후추,10,212,1,2.7326814527058776
31600,파슬리가루,후추,10,212,1,2.7326814527058776
32389,카레가루,후추,10,212,1,2.7326814527058776
32391,햄,후추,10,212,1,2.7326814527058776
31159,다진생각,미나리,9,235,1,2.7350427288915573
23681,송이버섯,호박,10,211,1,2.7374095939018237
16124,피쉬소스,후춧가루,1,2109,1,2.737883639893161
19121,아욱,후춧가루,1,2109,1,2.737883639893161
20581,중국부추,후춧가루,1,2109,1,2.737883639893161
9448,토란,후춧가루,1,2109,1,2.737883639893161
1666,햇살담은간장,후춧가루,2,2109,2,2.737883639893161
8124,피클,후춧가루,1,2109,1,2.737883639893161
8361,요리술,후춧가루,1,2109,1,2.737883639893161
13596,홍합,후춧가루,6,2109,6,2.737883639893161
19295,해삼,후춧가루,1,2109,1,2.737883639893161
7841,화이트와인,후춧가루,3,2109,3,2.737883639893161
13800,코다리,후춧가루,2,2109,2,2.737883639893161
511,홍피망,후춧가루,4,2109,4,2.737883639893161
1307,페스토소스,후춧가루,1,2109,1,2.737883639893161
8457,파마산치즈치즈,후춧가루,1,2109,1,2.737883639893161
25359,황설탕,후춧가루,1,2109,1,2.737883639893161
16797,당근즙,밀가루,8,263,1,2.7402572465143353
31515,고구마잎,다진파,5,419,1,2.744543988015698
28226,멥쌀가루,물,3,695,1,2.749328686139034
23536,간수,물,3,695,1,2.749328686139034
6229,더덕,물,3,695,1,2.749328686139034
11678,말린새우,물,3,695,1,2.749328686139034
30295,샐러드채소,식초,4,520,1,2.751729647676572
12725,다진청고추,식초,4,520,1,2.751729647676572
10015,통깨,피망,15,274,2,2.7638216934416007
18042,다진대파,다진마늘,4,505,1,2.7810000299766853
13904,광어,새우,12,167,1,2.7889523581671805
28479,땅콩버터,파프리카,20,100,1,2.7909503608298536
21298,파인애플,표고버섯,3,664,1,2.7949583822273922
19848,파스타,표고버섯,3,664,1,2.7949583822273922
11536,풋고추,홍고추,9,1096,5,2.804643687961856
21669,박고지,통깨,8,243,1,2.8193498353515514
31363,소고기,소금,1,1942,1,2.8203791715206656
27332,메주,소금,1,1942,1,2.8203791715206656
5367,우거지,진간장,6,320,1,2.8317723553501084
20008,오징어채,참기름,1,1888,1,2.84857947366649
3285,젓국,참기름,1,1888,1,2.84857947366649
21461,일본된장,참기름,1,1888,1,2.84857947366649
18243,조미료,참기름,1,1888,1,2.84857947366649
18732,열무김치,참기름,1,1888,1,2.84857947366649
25887,영양부추,참기름,1,1888,1,2.84857947366649
23547,우묵,참기름,1,1888,1,2.84857947366649
3499,순두부,식용유,3,627,1,2.8522939910709053
25123,맛조개,미나리,8,235,1,2.8528257645479407
30993,사과즙,청주,4,465,1,2.8635210536646887
16719,불린미역,실파,4,465,1,2.8635210536646887
25158,와사비소스,청주,4,465,1,2.8635210536646887
16579,조청,청주,4,465,1,2.8635210536646887
27890,닭발,생강,5,369,1,2.8716182638973082
28482,땅콩버터,햄,20,92,1,2.8743319697689045
31489,호박,후추,17,212,2,2.8952003822036523
14919,홍고추,홍합,40,133,3,2.9112365267043554
5507,양,진간장,11,320,2,2.9187837323397385
1237,불린미역,오이,4,436,1,2.9279162159030108
797,양념장,오이,8,436,2,2.9279162159030108
16684,랩,밥,8,217,1,2.9325139251516403
21073,오레가노,홍합,13,133,1,2.9365543346886454
7261,홍고추,흰후추,40,43,1,2.941773250564437
30548,사라다나,토마토,14,122,1,2.9487744460234206
32315,버섯,통깨,7,243,1,2.952881227976074
32053,부침유,통깨,7,243,1,2.952881227976074
32527,부침가루,후추,8,212,1,2.9558250040200873
31677,치커리,후추,8,212,1,2.9558250040200873
30487,그라나 빠다노,후추,8,212,1,2.9558250040200873
27609,찬밥,호박,8,211,1,2.9605531452160334
32543,부침가루,호박,8,211,1,2.9605531452160334
27818,녹차국수,육수,6,281,1,2.961738681810135
8957,강력분,우유,17,99,1,2.96351962618113
21148,토마토,홍합,25,133,2,2.9757750478419265
11195,청양고추,홍고추,3,1096,2,2.986965244755811
3755,우엉,청주,7,465,2,2.9970524462892114
22708,장어,진간장,5,320,1,3.0140939121440633
19699,잣가루,진간장,5,320,1,3.0140939121440633
6289,꽈리고추,진간장,5,320,1,3.0140939121440633
890,파,홍합,12,133,1,3.0165970423621817
21066,오레가노,토마토,13,122,1,3.0228824181771423
14192,치커리,토마토케첩,8,196,1,3.0342966194615824
30635,토마토,화이트와인,25,62,1,3.0458426104586436
15836,바게트,양송이버섯,14,110,1,3.052315124964261
26058,쌈다시마,오징어,5,307,1,3.0555671603506385
30097,구운김,파,12,127,1,3.0627590841253443
16628,맛소금,밥,7,217,1,3.066045317776163
15741,유부,콩나물,6,250,1,3.0786324332816344
5445,쇠고기육수,콩나물,6,250,1,3.0786324332816344
5369,우거지,콩나물,6,250,1,3.0786324332816344
32260,버섯,후추,7,212,1,3.08935639664461
30489,이태리파슬리,후추,7,212,1,3.08935639664461
30493,돼지 볼살,후추,7,212,1,3.08935639664461
25257,채썬마늘,청고추,2,717,1,3.1236297992123703
5427,장조림,청고추,2,717,1,3.1236297992123703
11910,맛국물,실파,3,465,1,3.15120312611647
28617,오렌지,청주,3,465,1,3.15120312611647
2008,잔멸치,청주,3,465,1,3.15120312611647
6017,연근,청주,3,465,1,3.15120312611647
1589,그린올리브,올리브유,9,153,1,3.164190321643281
1319,모듬채소,올리브유,9,153,1,3.164190321643281
32039,어린잎채소,올리브유,9,153,1,3.164190321643281
15841,파슬리가루,피망,10,274,2,3.1692868015497653
25434,튀김가루,피망,5,274,1,3.1692868015497653
28008,와사비,통후추,12,113,1,3.179558351871595
19167,떡,마늘,4,339,1,3.179558351871595
30053,발효초,양배추,10,134,1,3.191427927426979
22104,미원,새우,8,167,1,3.1944174662753446
16827,고들빼기,고춧가루,10,133,1,3.198918599156136
21233,키위,표고버섯,2,664,1,3.200423490335557
11275,명란젓,밀가루,5,263,1,3.210260875760071
27892,닭발,밀가루,5,263,1,3.210260875760071
20753,보리,오이,3,436,1,3.215598288354792
19511,청국장,팽이버섯,4,327,1,3.215598288354792
25563,생대구,팽이버섯,4,327,1,3.215598288354792
25193,와사비소스,팽이버섯,4,327,1,3.215598288354792
28616,오렌지,오이,3,436,1,3.215598288354792
21654,아보카도,오이,3,436,1,3.215598288354792
1488,가리비,샐러리,15,87,1,3.217894500615142
16616,매실장아찌,밥,6,217,1,3.220195997603421
20776,들깻잎,쑥갓,7,185,1,3.225586846238298
8966,건포도,우유,13,99,1,3.2317836127758093
7450,마른새우,진간장,4,320,1,3.237237463458273
22692,장어대리,진간장,4,320,1,3.237237463458273
22276,메밀국수,진간장,4,320,1,3.237237463458273
5354,선지,진간장,4,320,1,3.237237463458273
31487,노각,후추,6,212,1,3.243507076471868
5541,밀국수,후추,6,212,1,3.243507076471868
31501,노각,호박,6,211,1,3.248235217667814
11957,생새우,호박,6,211,1,3.248235217667814
457,전분,청피망,12,105,1,3.252985820426412
4647,싸리버섯,콩나물,5,250,1,3.260953990075589
111,양지머리,콩나물,5,250,1,3.260953990075589
32072,무채,콩나물,5,250,1,3.260953990075589
30475,토마토,파인애플,25,50,1,3.260953990075589
26095,무말랭이,설탕,1,1247,1,3.2633568746918993
17945,케첩,피망,9,274,2,3.2746473172075916
31519,고구마잎,깨소금,5,246,1,3.277083372005473
1586,도미,올리브유,8,153,1,3.2819733572996643
8478,레몬드레싱,올리브유,8,153,1,3.2819733572996643
28448,돼지등갈비,올리브유,8,153,1,3.2819733572996643
1506,가재새우,샐러리,14,87,1,3.2868873721020937
32092,무채,통깨,5,243,1,3.289353464597287
31258,슬라이스치즈,파프리카,12,100,1,3.301775984595844
29199,쭈꾸미,홍합,9,133,1,3.3042791148139625
14207,치즈,토마토케첩,6,196,1,3.3219786919133636
6679,문어,새우,7,167,1,3.3279488588998674
10881,조갯살,청피망,11,105,1,3.339997197416042
23058,바나나,정종,11,103,1,3.3592285593439293
26069,파프리카,홍피망,11,103,1,3.3592285593439293
10927,조갯살,홍피망,11,103,1,3.3592285593439293
399,카레가루,통후추,10,113,1,3.3618799086655495
30300,샐러드채소,육수,4,281,1,3.3672037899182996
27540,붉은갓,생강,3,369,1,3.3824438876632987
18178,케첩,토마토,9,122,1,3.39060719830246
31815,어린잎채소,토마토,9,122,1,3.39060719830246
8091,식빵,토마토,9,122,1,3.39060719830246
25045,치자,피망,4,274,1,3.392430352863975
4082,풋배추,홍고추,1,1096,1,3.392430352863975
22137,쇠고기스톡,피망,4,274,1,3.392430352863975
18653,프랑크소시지,피망,4,274,1,3.392430352863975
32036,어린잎채소,통깨,9,243,2,3.3947139802551134
23099,바나나,우유,11,99,1,3.3988376974389753
27041,간마늘,맛술,10,108,1,3.4071365002536704
32065,부침유,올리브유,7,153,1,3.415504749924187
8480,레몬주스,올리브유,7,153,1,3.415504749924187
22867,토마토페이스트,홍합,8,133,1,3.422062150470346
5545,양지머리,후추,5,212,1,3.425828633265823
17999,피망,햄,23,92,2,3.427717207953691
12314,호두,호박,5,211,1,3.430556774461769
18321,채썬쇠고기,호박,5,211,1,3.430556774461769
1411,검은껍질홍합,샐러리,12,87,1,3.4410380519293517
26983,파슬리가루,홍피망,10,103,1,3.4545387391482545
26981,햄,홍피망,10,103,1,3.4545387391482545
27298,열무,정종,10,103,1,3.4545387391482545
30148,떡국떡,파,8,127,1,3.468224192233509
263,통후추,파,8,127,1,3.468224192233509
28941,불린쌀,애호박,7,145,1,3.469208928896048
32058,부침유,애호박,7,145,1,3.469208928896048
5356,선지,콩나물,4,250,1,3.484097541389799
28286,가다랑이포,두부,5,200,1,3.484097541389799
30448,잉어,콩나물,4,250,1,3.484097541389799
27,안심,콩나물,4,250,1,3.484097541389799
21743,수수,쌀,11,90,1,3.4941478772433
1331,모듬채소,양송이버섯,9,110,1,3.4941478772433
14394,카레가루,토마토케첩,10,196,2,3.504300248707318
21855,냉동만두,토마토,8,122,1,3.5083902339588433
27992,전어,통깨,4,243,1,3.5124970159114968
27076,간생강,맛술,9,108,1,3.5124970159114968
6544,칵테일새우,통깨,4,243,1,3.5124970159114968
6019,연근,진간장,3,320,1,3.524919535910054
16754,시금치즙,진간장,3,320,1,3.524919535910054
22698,장어뼈,진간장,3,320,1,3.524919535910054
8973,건포도,버터,13,73,1,3.536444021762008
15918,사이다,양배추,7,134,1,3.5481028713657112
23814,쌀가루,홍합,7,133,1,3.5555935430948686
3319,파슬리,홍합,7,133,1,3.5555935430948686
31137,소급,실파,2,465,1,3.556668234224634
30179,미소,실파,2,465,1,3.556668234224634
28274,미소된장,실파,2,465,1,3.556668234224634
4331,배주머니,실파,2,465,1,3.556668234224634
30992,시래기,청주,2,465,1,3.556668234224634
29860,시판용장국,쑥갓,5,185,1,3.5620590828595105
32402,카레가루,햄,10,92,1,3.56747915032885
27001,파슬리가루,햄,10,92,1,3.56747915032885
8100,슬라이스치즈,양상추,12,76,1,3.5762128302976044
11577,정향,통후추,8,113,1,3.5850234599797592
31158,다진생각,밤,9,100,1,3.589458057047625
32352,식빵,우유,9,99,1,3.5995083929011265
785,열무,찹쌀가루,10,89,1,3.6006313576457503
8466,레몬드레싱,양송이버섯,8,110,1,3.6119309128996835
27849,식빵,잣,9,97,1,3.6199172645323334
31400,액젓,오이,2,436,1,3.621063396462956
