,Ingredient,TF-IDF Value,Recipe_ID
0,계란,0.12536764970378156,0
1,고사리,0.28697976041062095,0
2,고추장,0.1440166236619011,0
3,국간장,0.21813805449298102,0
4,다진마늘,0.06897253027590529,0
5,다진파,0.11192410974507322,0
6,도라지,0.28697976041062095,0
7,미나리,0.18228460980980854,0
8,설탕,0.0658981447412047,0
9,소금,0.034174552819037966,0
10,숙주,0.27958479578046197,0
11,쌀,0.2511263157274484,0
12,안심,0.4411969064873013,0
13,양지머리,0.3925468135019746,0
14,참기름,0.06932259208829587,0
15,청포묵,0.3925468135019746,0
16,콩나물,0.21527287104427598,0
17,소금,0.041711279124097986,1
18,멥쌀,0.3412433665893121,1
19,수수,0.4791175994008815,1
20,차조,0.5384967994351779,1
21,찹쌀,0.3124191099167564,1
22,콩,0.38500379402370133,1
23,팥,0.3412433665893121,1
24,다진마늘,0.10014295479530994,2
25,다진파,0.16250543539391793,2
26,소금,0.04961889442676287,2
27,참기름,0.10065121836217579,2
28,당근,0.17651464130886102,2
29,당면,0.4422837533853524,2
30,돼지고기,0.2812253755534964,2
31,밥,0.2526607458068713,2
32,부추,0.3352999144756694,2
33,진간장,0.2672436710916707,2
34,청고추,0.2033586269970362,2
35,통후추,0.39622347084825943,2
36,표고버섯,0.23037486546454092,2
37,호박,0.3405270414487508,2
38,홍고추,0.17334630423433417,2
39,소금,0.05865495650096589,3
40,쌀,0.43101670424888877,3
41,참기름,0.11898074116738831,3
42,콩나물,0.36948020808939147,3
43,진간장,0.31591122865860727,3
44,통후추,0.46837944931580744,3
45,고춧가루,0.1795175238752189,3
46,깨소금,0.16812654506398916,3
47,마늘,0.2099343703436782,3
48,쇠고기,0.2249267150366776,3
49,파,0.43101670424888877,3
50,찹쌀,0.2659847789502284,4
51,간장,0.07616106496973549,4
52,계핏가루,0.35735338149510504,4
53,깐밤,0.4079071501156353,4
54,대추,0.24765549504828652,4
55,물,0.08606556993291031,4
56,물엿,0.2236964874112768,4
57,식용유,0.12867027702796544,4
58,잣,0.27138974543104055,4
59,흑설탕,0.45846091873616557,4
60,흰설탕,0.45846091873616557,4
61,설탕,0.11127495079260262,5
